Date,Open,High,Low,Close,Volume
9/7/1984,0.0996047,0.100827,0.0984022,0.0996047,98811715
9/10/1984,0.0996047,0.0999102,0.0972099,0.0990135,76694011
9/11/1984,0.0999102,0.10262,0.0999102,0.100827,180849030
9/12/1984,0.100827,0.101417,0.0977914,0.0977914,157987052
9/13/1984,0.103232,0.103526,0.103232,0.103232,246058991
9/14/1984,0.103526,0.107124,0.103526,0.10472,292979204
9/17/1984,0.10744,0.108938,0.10744,0.10744,228752925
9/18/1984,0.10744,0.108327,0.103526,0.103526,115479713
9/19/1984,0.103526,0.10472,0.101417,0.101417,126139774
9/20/1984,0.101714,0.10262,0.101714,0.101714,78528344
9/21/1984,0.101714,0.10472,0.0996047,0.100827,118483606
9/24/1984,0.100827,0.101417,0.0999102,0.0999102,93760833
9/25/1984,0.0996047,0.0996047,0.0977914,0.0977914,197942428
9/26/1984,0.0977914,0.102304,0.0966086,0.0966086,131695788
9/27/1984,0.0966086,0.0972099,0.0966086,0.0966086,125714430
9/28/1984,0.0966086,0.0966086,0.0923906,0.0941941,277002379
10/1/1984,0.0939084,0.0939084,0.0920853,0.0920853,116037950
10/2/1984,0.0926865,0.0959978,0.0926865,0.0926865,140335434
10/3/1984,0.0941941,0.0956921,0.0941941,0.0941941,142914116
10/4/1984,0.0953768,0.0959978,0.0953768,0.0953768,148922026
10/5/1984,0.0953768,0.0953768,0.0926865,0.0932972,115798724
10/8/1984,0.0932972,0.0939084,0.0932972,0.0932972,55746084
10/9/1984,0.0932972,0.0939084,0.0923906,0.0923906,148656171
10/10/1984,0.0923906,0.0923906,0.0896707,0.0896707,432995672
10/11/1984,0.0896707,0.0920853,0.0890794,0.0890794,216896606
10/12/1984,0.0890794,0.0896707,0.0845459,0.0851571,315442482
10/15/1984,0.0899665,0.0908731,0.0899665,0.0899665,288699227
10/16/1984,0.0899665,0.0902817,0.0896707,0.0896707,140069672
10/17/1984,0.0932972,0.0939084,0.0932972,0.0932972,185900013
10/18/1984,0.0959978,0.0966086,0.0959978,0.0959978,293324793
10/19/1984,0.0959978,0.10262,0.0956921,0.0959978,387032462
10/22/1984,0.0959978,0.0974956,0.0953768,0.0953768,136188449
